Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
22,Robbie Beckett,S,C,F,2,1996,1997,0,0,0,,11.57,7,0,4,0,0,0,7.0,7,9,9,3,10,1,8,0,0,1,38,49,beckero01
23,Jalen Beeks,-,-,-,1,2024,2024,0,6,4,.600,4.74,45,0,21,0,0,9,49.1,49,29,26,6,18,1,38,1,0,5,211,98,beeksja02
24,Joe Beimel,-,-,-,2,2009,2010,0,1,3,.250,3.56,97,0,18,0,0,0,60.2,65,25,24,7,19,4,32,0,1,4,256,132,beimejo01
25,Stan Belinda,-,-,-,1,2000,2000,0,1,3,.250,7.07,46,0,10,0,0,1,35.2,39,32,28,10,17,4,40,2,0,2,166,83,belinst01
26,Matt Belisle,-,-,-,6,2009,2014,0,32,32,.500,3.88,392,1,70,0,0,4,412.2,437,196,178,34,87,19,345,11,2,13,1730,117,belisma01
27,Todd Belitz,-,-,F,1,2001,2001,0,1,1,.500,7.71,8,0,3,0,0,0,9.1,9,8,8,2,3,0,5,0,0,0,40,71,belitto01
28,Rigo Beltrán,-,-,-,2,1999,2000,0,0,0,,10.95,13,1,2,0,0,0,12.1,26,15,15,4,10,1,16,1,0,1,74,55,beltrri01
29,Christian Bergman,S,-,-,3,2014,2016,0,7,9,.438,5.79,55,15,11,0,0,0,147.2,196,97,95,24,31,3,90,1,0,4,654,79,bergmch01
30,Adam Bernero,-,-,-,2,2003,2004,0,1,3,.250,5.40,47,2,9,0,0,0,65.0,69,42,39,12,30,3,47,1,0,2,289,92,bernead01
31,Rafael Betancourt,-,-,F,6,2009,2015,0,15,15,.500,3.53,309,0,136,0,0,58,275.2,237,114,108,29,56,13,315,0,3,9,1117,131,betanra01
32,Chad Bettis,S,C,F,7,2013,2019,0,31,31,.500,5.12,164,92,20,1,1,1,600.2,672,369,342,79,210,17,431,24,2,25,2656,93,bettich01
33,Bruce Billings,S,-,-,1,2011,2011,0,0,0,,4.50,1,0,1,0,0,0,2.0,5,1,1,0,0,0,0,0,0,1,9,118,billibr02
34,Jake Bird,S,C,F,3,2022,2024,0,7,9,.438,4.62,140,3,22,0,0,1,173.1,179,97,89,18,75,4,147,13,0,7,761,104,birdja01
35,Ty Blach,-,-,F,3,2022,2024,0,7,11,.389,6.13,64,26,16,0,0,1,193.2,258,135,132,36,53,2,115,14,0,3,875,78,blachty01
36,Willie Blair,-,-,-,2,1993,1994,0,6,15,.286,5.11,93,19,18,1,0,3,223.2,282,147,127,29,81,7,152,7,1,10,1029,95,blairwi01
37,Bradley Blalock,-,-,F,1,2024,2024,0,1,3,.250,6.07,6,6,0,0,0,0,29.2,35,22,20,4,19,0,20,1,0,0,143,77,blalobr01
38,Mitchell Boggs,-,-,F,1,2013,2013,0,0,0,,3.12,9,0,4,0,0,0,8.2,7,3,3,2,5,0,5,1,0,0,38,148,boggsmi01
